benchmark_id,N,db_type,content_size,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,peak_rss_mb
test_benchmark_db_embedding_retrieval,5,postgres,large,99.3909,153.8320,190.3397,107.6270,89.8490,199.4666,214.0312
test_benchmark_db_embedding_retrieval,5,postgres,medium,92.3670,107.6752,111.5873,95.4427,83.6027,112.5654,216.5938
test_benchmark_db_embedding_retrieval,5,postgres,small,127.7918,140.2378,141.3628,125.7105,109.2849,141.6440,479.1250
test_benchmark_db_embedding_retrieval,50,postgres,large,190.5635,304.6414,319.3693,199.0722,91.8575,323.0513,246.1250
test_benchmark_db_embedding_retrieval,50,postgres,medium,175.0253,185.7616,187.6365,163.8903,104.8053,188.1053,234.9844
test_benchmark_db_embedding_retrieval,50,postgres,small,220.6222,239.0926,242.7578,223.9051,213.9000,243.6741,213.3906
test_benchmark_db_embedding_retrieval,100,postgres,large,974.0497,1151.6097,1178.6561,1001.2722,912.7526,1185.4177,250.9062
test_benchmark_db_embedding_retrieval,100,postgres,medium,225.9245,247.3622,247.6889,228.0316,200.2067,247.7706,226.3594
test_benchmark_db_embedding_retrieval,100,postgres,small,669.7442,1853.6764,1998.6253,967.4787,454.6335,2034.8626,271.9219
test_benchmark_db_embedding_retrieval,300,postgres,large,154.3493,167.0074,168.0662,155.8621,144.6347,168.3309,205.2812
test_benchmark_db_embedding_retrieval,300,postgres,medium,3219.2838,4038.9247,4063.4034,2958.4768,1236.7361,4069.5230,257.0156
test_benchmark_db_embedding_retrieval,300,postgres,small,1153.0390,2071.2311,2072.1244,1276.4632,443.0388,2072.3478,156.9844
test_benchmark_db_embedding_retrieval,600,postgres,large,2052.6545,3803.3187,3962.6862,2572.9006,1791.3557,4002.5281,166.1406
test_benchmark_db_embedding_retrieval,600,postgres,medium,2893.2907,3569.5165,3641.7999,2637.4023,1598.2739,3659.8708,173.0625
test_benchmark_db_embedding_retrieval,600,postgres,small,1939.1271,2785.1528,2897.8389,2097.4893,1661.5160,2926.0104,165.7031
test_benchmark_db_embedding_retrieval,1000,postgres,large,1736.4637,8506.6128,9358.6498,3704.0804,1236.0967,9571.6591,173.8281
test_benchmark_db_embedding_retrieval,1000,postgres,medium,3525.9057,3908.3667,3934.9333,3372.3429,2765.5721,3941.5749,170.3125
test_benchmark_db_embedding_retrieval,1000,postgres,small,9675.9688,12387.5421,12658.8849,8443.8804,2430.6451,12726.7206,171.2500
test_benchmark_db_embedding_retrieval,3000,postgres,large,9745.3445,25920.1951,25951.1088,14363.3503,4671.6381,25958.8373,215.8750
test_benchmark_db_embedding_retrieval,3000,postgres,medium,4030.6550,7966.2692,8374.0196,5104.1101,3270.9658,8475.9572,179.5625
test_benchmark_db_embedding_retrieval,3000,postgres,small,4249.7023,18172.9624,20624.5201,7897.2957,3977.7906,21237.4095,185.7344
test_benchmark_db_embedding_retrieval,5000,postgres,large,23208.5226,49073.6054,52296.5397,28369.4497,15642.2449,53102.2732,140.6250
test_benchmark_db_embedding_retrieval,5000,postgres,medium,25759.0770,46085.3595,47473.3280,28154.3922,12172.8680,47820.3202,118.8281
test_benchmark_db_embedding_retrieval,5000,postgres,small,10297.3648,30227.8674,33683.8814,14421.9669,5693.1471,34547.8849,149.9531
test_benchmark_db_fact_content_retrieval,5,postgres,large,95.8598,110.3656,115.7921,97.3541,85.6555,117.1487,195.9219
test_benchmark_db_fact_content_retrieval,5,postgres,medium,90.1952,108.4836,115.4217,92.3068,80.0249,117.1563,197.5156
test_benchmark_db_fact_content_retrieval,5,postgres,small,101.4386,112.3070,112.7778,101.7887,84.2585,112.8955,187.8438
test_benchmark_db_fact_content_retrieval,50,postgres,large,91.3839,98.7448,100.3492,90.6265,82.9943,100.7503,163.9531
test_benchmark_db_fact_content_retrieval,50,postgres,small,80.1407,89.7135,91.5260,80.3342,71.5595,91.9791,215.6875
test_benchmark_db_fact_content_retrieval,100,postgres,large,101.2803,104.9488,106.4074,99.9690,90.6066,106.7721,174.0156
test_benchmark_db_fact_content_retrieval,100,postgres,medium,75.4476,84.1127,85.0782,75.1582,68.1818,85.3196,170.6562
test_benchmark_db_fact_content_retrieval,100,postgres,small,79.8756,116.2924,145.3087,84.9122,75.3064,152.5627,159.3438
test_benchmark_db_fact_content_retrieval,300,postgres,large,93.1759,98.7761,100.5871,91.5702,80.5420,101.0398,138.3594
test_benchmark_db_fact_content_retrieval,300,postgres,medium,80.0042,87.6730,91.6021,81.4768,75.7805,92.5843,193.0000
test_benchmark_db_fact_content_retrieval,300,postgres,small,92.9099,112.4674,115.4718,94.6495,80.8585,116.2229,178.1094
test_benchmark_db_fact_content_retrieval,600,postgres,large,99.6394,111.5652,113.9216,101.7354,95.8523,114.5107,73.3750
test_benchmark_db_fact_content_retrieval,600,postgres,medium,86.1197,96.0816,98.7893,85.7041,74.6623,99.4662,74.7812
test_benchmark_db_fact_content_retrieval,600,postgres,small,91.2399,122.3014,122.5893,98.1789,89.7265,122.6613,170.5312
test_benchmark_db_fact_content_retrieval,1000,postgres,large,87.9121,119.7170,139.3346,92.9823,75.9805,144.2390,83.5312
test_benchmark_db_fact_content_retrieval,1000,postgres,medium,87.6791,95.5722,98.6648,88.2994,80.2719,99.4380,82.7656
test_benchmark_db_fact_content_retrieval,1000,postgres,small,90.6360,107.1112,107.4881,90.1196,73.3732,107.5824,82.5625
test_benchmark_db_fact_content_retrieval,3000,postgres,large,96.1496,105.9920,108.6416,96.6304,86.9156,109.3040,104.1562
test_benchmark_db_fact_content_retrieval,3000,postgres,medium,86.6279,107.4292,112.1677,87.5049,73.2756,113.3523,102.3906
test_benchmark_db_fact_content_retrieval,3000,postgres,small,99.9383,106.1654,107.6983,99.5222,88.5568,108.0815,99.3125
test_benchmark_db_fact_content_retrieval,5000,postgres,large,87.5684,94.4562,96.2706,86.9273,80.3210,96.7243,119.2344
test_benchmark_db_fact_content_retrieval,5000,postgres,medium,94.0371,100.2241,100.2841,93.6029,83.9959,100.2991,159.9375
test_benchmark_db_fact_content_retrieval,5000,postgres,small,89.5183,113.9118,127.1954,93.6566,80.4048,130.5162,117.0000
test_benchmark_end_to_end_recall,5,postgres,large,207.1965,221.0261,223.4864,208.0429,193.0342,224.1015,394.3281
test_benchmark_end_to_end_recall,5,postgres,medium,192.4995,204.0713,204.0899,192.8904,176.2723,204.0945,415.0000
test_benchmark_end_to_end_recall,5,postgres,small,240.3716,258.0264,259.4790,243.4166,226.1631,259.8422,431.7656
test_benchmark_end_to_end_recall,50,postgres,large,340.0027,500.4401,506.1863,380.5250,247.9910,507.6229,151.1406
test_benchmark_end_to_end_recall,50,postgres,medium,886.2426,925.9129,930.6213,873.6145,791.6985,931.7984,143.1875
test_benchmark_end_to_end_recall,50,postgres,small,315.7314,348.2885,351.6354,293.4678,227.6252,352.4722,177.5469
