benchmark_id,N,db_type,content_size,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,peak_rss_mb
test_benchmark_db_embedding_retrieval,5,postgres,large,0.1105,0.1175,0.1267,0.1115,0.0942,0.5526,336.4844
test_benchmark_db_embedding_retrieval,5,postgres,medium,0.1122,0.1469,0.1935,0.1174,0.0938,0.6712,340.2812
test_benchmark_db_embedding_retrieval,5,postgres,small,0.3764,1.6579,8.3192,0.6994,0.1372,15.5067,344.0000
test_benchmark_db_embedding_retrieval,5,sqlite,large,0.0343,0.0376,0.0426,0.0352,0.0335,0.0841,293.7969
test_benchmark_db_embedding_retrieval,5,sqlite,medium,0.0344,0.0405,0.0458,0.0353,0.0334,0.1633,293.4219
test_benchmark_db_embedding_retrieval,5,sqlite,small,0.0344,0.0385,0.0432,0.0353,0.0335,0.0840,298.9531
test_benchmark_db_embedding_retrieval,50,postgres,large,0.9483,1.4729,1.5731,0.9305,0.4495,3.1673,371.0469
test_benchmark_db_embedding_retrieval,50,postgres,medium,0.9223,1.1182,1.6478,0.9127,0.4268,2.7408,370.2969
test_benchmark_db_embedding_retrieval,50,postgres,small,1.0094,1.4512,1.9529,1.0216,0.4546,12.5567,363.5938
test_benchmark_db_embedding_retrieval,50,sqlite,large,0.0755,0.0860,0.0945,0.0776,0.0735,0.1791,370.6875
test_benchmark_db_embedding_retrieval,50,sqlite,medium,0.0760,0.0968,0.1022,0.0797,0.0738,0.2824,359.8125
test_benchmark_db_embedding_retrieval,50,sqlite,small,0.0777,0.0881,0.0961,0.0783,0.0729,0.1737,354.1562
test_benchmark_db_embedding_retrieval,100,postgres,large,2.0582,3.8537,4.6213,2.3992,1.3731,5.5992,382.4062
test_benchmark_db_embedding_retrieval,100,postgres,medium,2.5307,3.9651,4.9941,2.7461,1.3090,5.3957,379.3438
test_benchmark_db_embedding_retrieval,100,postgres,small,2.4665,4.0058,4.6604,2.6602,1.0732,5.6651,374.8750
test_benchmark_db_embedding_retrieval,100,sqlite,large,0.1237,0.1361,0.1474,0.1247,0.1172,0.2109,373.5938
test_benchmark_db_embedding_retrieval,100,sqlite,medium,0.1299,0.1569,0.1750,0.1338,0.1175,1.7822,385.7344
test_benchmark_db_embedding_retrieval,100,sqlite,small,0.1213,0.1411,0.1606,0.1257,0.1178,0.4782,387.1406
test_benchmark_db_embedding_retrieval,300,postgres,large,3.1430,5.3656,5.6414,3.7450,2.2990,5.7325,359.7656
test_benchmark_db_embedding_retrieval,300,postgres,medium,4.7146,5.4447,5.6815,4.1902,2.4292,6.4182,365.7656
test_benchmark_db_embedding_retrieval,300,postgres,small,4.6644,5.4968,5.9760,4.0654,2.4605,6.2354,358.2500
test_benchmark_db_embedding_retrieval,300,sqlite,large,0.3143,0.3314,0.3636,0.3123,0.2913,0.4622,356.2188
test_benchmark_db_embedding_retrieval,300,sqlite,medium,0.3112,0.3306,0.3511,0.3095,0.2886,0.6353,403.1875
test_benchmark_db_embedding_retrieval,300,sqlite,small,0.3143,0.3350,0.3848,0.3108,0.2918,0.4218,393.7500
test_benchmark_db_embedding_retrieval,600,postgres,large,5.1610,9.1559,9.7592,5.6442,4.6181,12.5320,584.9844
test_benchmark_db_embedding_retrieval,600,postgres,medium,5.2685,9.0235,9.9151,6.1938,4.9599,79.6480,605.4531
test_benchmark_db_embedding_retrieval,600,postgres,small,5.3484,8.7134,9.3334,5.6961,4.9160,9.7179,598.4062
test_benchmark_db_embedding_retrieval,600,sqlite,large,0.9241,0.9674,1.0780,1.0015,0.8537,68.8620,599.1094
test_benchmark_db_embedding_retrieval,600,sqlite,medium,0.9184,0.9366,0.9542,0.9146,0.8492,1.0264,586.2031
test_benchmark_db_embedding_retrieval,600,sqlite,small,0.9186,0.9919,1.0565,1.0754,0.8550,119.0868,375.0156
test_benchmark_db_embedding_retrieval,1000,postgres,large,8.6809,11.3104,14.8725,9.0784,8.3538,17.2404,571.4688
test_benchmark_db_embedding_retrieval,1000,postgres,medium,8.6315,13.8120,26.6045,10.2864,8.2395,115.2590,622.3750
test_benchmark_db_embedding_retrieval,1000,postgres,small,8.4871,8.8596,9.1296,9.2085,8.0950,83.8390,615.2031
test_benchmark_db_embedding_retrieval,1000,sqlite,large,1.5309,1.5919,1.6962,1.6488,1.4470,69.7912,612.8750
test_benchmark_db_embedding_retrieval,1000,sqlite,medium,1.5460,1.7736,2.6652,1.7007,1.4372,70.1667,617.2188
test_benchmark_db_embedding_retrieval,1000,sqlite,small,1.5613,1.8632,1.9711,1.7470,1.4250,70.4267,605.0625
test_benchmark_db_embedding_retrieval,1500,postgres,large,13.2045,15.3213,37.5255,14.4740,12.8905,85.6845,599.5781
test_benchmark_db_embedding_retrieval,1500,postgres,medium,13.0647,13.4985,86.1734,15.1147,12.8404,87.4431,615.9062
test_benchmark_db_embedding_retrieval,1500,postgres,small,13.1446,14.3343,37.1853,14.3381,12.7691,88.8014,598.3594
test_benchmark_db_embedding_retrieval,1500,sqlite,large,2.3746,2.8706,3.0365,2.8823,2.2843,78.8746,600.8750
test_benchmark_db_embedding_retrieval,1500,sqlite,medium,2.3663,2.7691,2.9391,2.7481,2.2840,71.7107,599.3750
test_benchmark_db_embedding_retrieval,1500,sqlite,small,2.3258,2.5845,3.5067,2.5788,2.2803,72.5203,566.0781
test_benchmark_db_embedding_retrieval,2000,postgres,large,17.8365,19.9483,106.1854,21.5999,17.3019,120.6442,567.3594
test_benchmark_db_embedding_retrieval,2000,postgres,medium,17.7256,19.1448,92.5726,20.5183,17.1637,92.8775,662.8281
test_benchmark_db_embedding_retrieval,2000,postgres,small,17.6695,22.0536,57.9007,19.4238,16.6860,90.6639,628.8125
test_benchmark_db_embedding_retrieval,2000,sqlite,large,3.1792,3.3261,3.4702,3.1850,3.0810,3.5062,633.9062
test_benchmark_db_embedding_retrieval,2000,sqlite,medium,3.1345,3.2994,3.4533,3.4319,3.0708,73.6976,637.3750
test_benchmark_db_embedding_retrieval,2000,sqlite,small,3.1773,3.8901,7.3462,3.8283,3.0674,73.1066,623.4062
test_benchmark_db_embedding_retrieval,2500,postgres,large,22.5449,49.9008,111.5283,27.6303,21.8372,119.1156,474.4219
test_benchmark_db_embedding_retrieval,2500,postgres,medium,22.6861,23.5096,98.7302,26.0264,21.9560,102.5177,639.3594
test_benchmark_db_embedding_retrieval,2500,postgres,small,22.5513,40.1095,94.4640,26.7527,21.8297,95.7538,629.4531
test_benchmark_db_embedding_retrieval,2500,sqlite,large,4.5498,5.3557,63.7634,5.5727,3.8659,77.1834,596.6719
test_benchmark_db_embedding_retrieval,2500,sqlite,medium,4.1013,7.8600,17.1203,5.7713,3.9095,164.5777,367.2969
test_benchmark_db_embedding_retrieval,2500,sqlite,small,4.0370,4.6177,8.0304,4.8328,3.8777,78.1878,595.7344
test_benchmark_db_embedding_retrieval,3000,postgres,large,27.1134,28.4866,28.6418,27.2924,26.4447,28.6806,405.0469
test_benchmark_db_embedding_retrieval,3000,postgres,medium,28.1645,68.8027,293.3838,43.0370,26.7277,402.8847,646.9844
test_benchmark_db_embedding_retrieval,3000,postgres,small,27.1374,99.5928,103.7597,33.3144,26.2224,105.9137,632.5938
test_benchmark_db_embedding_retrieval,3000,sqlite,large,5.1659,5.5386,75.5869,6.3145,4.7490,79.4185,641.6875
test_benchmark_db_embedding_retrieval,3000,sqlite,medium,4.9902,5.8797,75.7587,6.3120,4.7332,76.8976,667.7344
test_benchmark_db_embedding_retrieval,3000,sqlite,small,5.5310,6.3092,76.0985,6.8588,5.0204,76.7017,650.7812
test_benchmark_db_embedding_retrieval,3500,postgres,large,32.4140,34.3814,35.2325,32.5312,31.0115,35.4452,649.8594
test_benchmark_db_embedding_retrieval,3500,postgres,medium,31.9935,69.6673,115.6686,37.1179,30.6562,119.9472,593.3906
test_benchmark_db_embedding_retrieval,3500,postgres,small,32.0442,104.0999,106.2170,39.0292,31.2728,107.1181,683.9688
test_benchmark_db_embedding_retrieval,3500,sqlite,large,6.4584,7.1394,78.2328,8.3245,5.8181,79.4192,676.4531
test_benchmark_db_embedding_retrieval,3500,sqlite,medium,6.4250,6.8241,77.2249,7.9868,5.7027,78.1919,685.6562
test_benchmark_db_embedding_retrieval,3500,sqlite,small,5.9998,6.9958,76.5532,7.5923,5.5701,79.3315,665.7500
test_benchmark_db_embedding_retrieval,4000,postgres,large,37.2755,85.7777,110.8174,42.6682,36.7238,110.9893,659.5000
test_benchmark_db_embedding_retrieval,4000,postgres,medium,36.8911,89.5969,114.9303,42.5325,35.9758,115.9888,657.9062
test_benchmark_db_embedding_retrieval,4000,postgres,small,37.6400,109.3466,113.6428,46.7553,36.3301,115.1451,664.7812
test_benchmark_db_embedding_retrieval,4000,sqlite,large,7.1618,8.0043,78.5596,9.5321,6.7310,79.5794,646.8594
test_benchmark_db_embedding_retrieval,4000,sqlite,medium,7.0706,7.6845,62.5184,8.2425,6.4393,87.9445,606.3281
test_benchmark_db_embedding_retrieval,4000,sqlite,small,11.8764,18.3943,20.5303,12.2368,7.6907,21.0642,373.8125
test_benchmark_db_embedding_retrieval,4500,postgres,large,41.7810,105.6984,121.7033,48.4715,40.4981,123.5279,666.1094
test_benchmark_db_embedding_retrieval,4500,postgres,medium,42.0659,104.9884,177.7274,52.0054,40.7735,196.7636,432.3906
test_benchmark_db_embedding_retrieval,4500,postgres,small,41.6160,115.1357,115.2971,50.9220,40.8616,115.2988,696.4844
test_benchmark_db_embedding_retrieval,4500,sqlite,large,8.8192,9.4835,9.4956,8.9387,8.5516,9.4986,658.9062
test_benchmark_db_embedding_retrieval,4500,sqlite,medium,8.4458,11.6015,80.5934,11.5506,7.3727,128.0902,380.3281
test_benchmark_db_embedding_retrieval,4500,sqlite,small,8.4450,14.6208,90.8493,11.4874,7.3498,92.9486,669.4844
test_benchmark_db_embedding_retrieval,5000,postgres,large,46.6278,115.0585,119.1652,53.2041,45.7119,119.3478,688.8125
test_benchmark_db_embedding_retrieval,5000,postgres,medium,46.5392,120.2229,123.7288,54.1648,45.4880,124.6052,699.7656
test_benchmark_db_embedding_retrieval,5000,postgres,small,46.4768,116.2707,123.1059,53.2481,45.6616,123.9560,669.5156
test_benchmark_db_embedding_retrieval,5000,sqlite,large,9.0680,9.6206,80.7759,12.0670,8.7428,90.4842,663.0938
test_benchmark_db_embedding_retrieval,5000,sqlite,medium,10.0711,36.5920,101.4680,15.8672,8.2943,174.7573,375.2812
test_benchmark_db_embedding_retrieval,5000,sqlite,small,9.2480,13.3181,83.1707,12.5135,8.5687,88.1250,707.4688
test_benchmark_db_fact_content_retrieval,5,postgres,large,1.3226,1.9356,2.7275,1.3759,0.7474,3.1461,589.1719
test_benchmark_db_fact_content_retrieval,5,postgres,medium,1.0859,3.4256,4.0178,1.3580,0.4959,70.0438,635.2812
test_benchmark_db_fact_content_retrieval,5,postgres,small,0.6342,0.9345,1.4279,0.6851,0.4782,3.3682,665.9062
test_benchmark_db_fact_content_retrieval,5,sqlite,large,0.0330,0.0439,0.1610,0.0384,0.0319,1.8935,713.6875
test_benchmark_db_fact_content_retrieval,5,sqlite,medium,0.0327,0.0399,0.0423,0.0337,0.0319,0.1076,711.1406
test_benchmark_db_fact_content_retrieval,5,sqlite,small,0.0324,0.0353,0.0388,0.0328,0.0317,0.0751,707.6094
test_benchmark_db_fact_content_retrieval,50,postgres,large,2.0915,3.9217,4.1262,2.3388,1.0181,4.5371,608.5312
test_benchmark_db_fact_content_retrieval,50,postgres,medium,2.2195,3.9202,4.1597,2.3871,1.0020,6.2334,592.4219
test_benchmark_db_fact_content_retrieval,50,postgres,small,1.0181,1.6028,1.7373,1.0651,0.6448,3.1940,591.7812
test_benchmark_db_fact_content_retrieval,50,sqlite,large,0.0325,0.0356,0.0394,0.0330,0.0318,0.2310,609.6094
test_benchmark_db_fact_content_retrieval,50,sqlite,medium,0.0340,0.0414,0.0439,0.0354,0.0317,0.1857,612.6562
test_benchmark_db_fact_content_retrieval,50,sqlite,small,0.0325,0.0366,0.0400,0.0330,0.0317,0.5408,604.0625
test_benchmark_db_fact_content_retrieval,100,postgres,large,0.7989,1.0761,1.5832,0.7996,0.4903,3.0985,307.6562
test_benchmark_db_fact_content_retrieval,100,postgres,medium,1.2956,1.6730,2.0790,1.3436,0.5526,10.9167,289.3438
test_benchmark_db_fact_content_retrieval,100,postgres,small,0.8484,1.2944,1.6289,0.8669,0.4610,6.0420,294.8438
test_benchmark_db_fact_content_retrieval,100,sqlite,large,0.0325,0.0358,0.0395,0.0331,0.0316,0.0899,295.1719
test_benchmark_db_fact_content_retrieval,100,sqlite,medium,0.0325,0.0370,0.0413,0.0331,0.0318,0.2671,305.2969
test_benchmark_db_fact_content_retrieval,100,sqlite,small,0.0338,0.0413,0.0437,0.0352,0.0321,0.2922,300.5000
test_benchmark_db_fact_content_retrieval,300,postgres,large,0.6421,0.9568,1.0737,0.6964,0.4890,1.3822,346.4531
test_benchmark_db_fact_content_retrieval,300,postgres,medium,0.9779,1.5536,1.7306,1.0225,0.4933,3.2730,346.0469
test_benchmark_db_fact_content_retrieval,300,postgres,small,0.7970,1.4227,1.6522,0.8355,0.4528,2.8951,345.1562
test_benchmark_db_fact_content_retrieval,300,sqlite,large,0.0323,0.0357,0.0391,0.0327,0.0317,0.0743,341.5156
test_benchmark_db_fact_content_retrieval,300,sqlite,medium,0.0325,0.0370,0.0407,0.0330,0.0316,0.1019,334.9219
test_benchmark_db_fact_content_retrieval,300,sqlite,small,0.0328,0.0377,0.0415,0.0335,0.0320,0.0859,328.5781
test_benchmark_db_fact_content_retrieval,600,postgres,large,0.8628,1.6203,1.8086,0.9069,0.5004,2.3472,596.7500
test_benchmark_db_fact_content_retrieval,600,postgres,medium,1.0601,1.6472,1.8565,1.0473,0.4868,10.0412,603.6250
test_benchmark_db_fact_content_retrieval,600,postgres,small,0.8647,1.5638,1.7599,0.9250,0.4709,4.0463,606.9375
test_benchmark_db_fact_content_retrieval,600,sqlite,large,0.0326,0.0358,0.0405,0.0330,0.0318,0.0785,605.7344
test_benchmark_db_fact_content_retrieval,600,sqlite,medium,0.0327,0.0363,0.0402,0.0331,0.0318,0.0927,590.7656
